Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,TotalSpending,TotalPurchases,Recency_Group,AgeGroup,ResponseRate,Cluster,CustomerID,Group
67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,69,2542,0,0,0,0,1,0,0,0,0,1,600,594,0,606,18,0–30 days,61-100,0.0,0,59,Cluster 0
70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,72,2364,0,0,0,1,0,0,0,1,0,0,1046,1016,0,957,15,0–30 days,61-100,0.0,0,60,Cluster 0
25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,49,2563,0,1,0,0,0,0,0,1,0,0,19,4,0,31,4,60–100 days,41-60,16.666666666666664,3,61,Cluster 3
32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,0,0,0,1,0,0,0,1,0,0,11,11,0,11,3,0–30 days,41-60,0.0,3,62,Cluster 3
88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,41,2261,0,0,1,0,0,1,0,0,0,0,1236,1198,2,1073,31,0–30 days,41-60,50.0,1,63,Cluster 1
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,62,2434,0,0,0,1,0,0,0,1,0,0,544,435,0,646,17,0–30 days,61-100,0.0,0,64,Cluster 0
74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,50,2606,0,0,0,1,0,0,0,1,0,0,1489,1416,0,1504,12,60–100 days,41-60,0.0,2,65,Cluster 2
66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,0,1,0,0,0,0,0,0,1,0,1241,1229,0,1064,18,0–30 days,61-100,0.0,2,66,Cluster 2
65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,61,2628,0,1,0,0,0,0,0,1,0,0,777,691,0,779,26,0–30 days,61-100,0.0,2,67,Cluster 2
60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,45,2609,0,1,0,0,0,0,0,0,0,1,642,623,1,661,19,60–100 days,41-60,16.666666666666664,0,68,Cluster 0
28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,68,2219,0,1,0,0,0,0,0,1,0,0,56,47,0,61,7,30–60 days,61-100,0.0,3,69,Cluster 3
40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,43,2716,1,0,0,0,0,0,0,1,0,0,12,11,0,11,3,60–100 days,41-60,0.0,3,70,Cluster 3
75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,48,2830,0,1,0,0,0,0,0,0,1,0,1872,1854,0,1793,18,30–60 days,41-60,16.666666666666664,2,71,Cluster 2
75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,44,2784,0,0,1,0,0,0,0,1,0,0,2158,2107,1,2072,22,30–60 days,41-60,33.33333333333333,1,72,Cluster 1
26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,0,0,0,1,0,1,0,0,0,0,9,0,0,18,3,0–30 days,41-60,0.0,3,73,Cluster 3
56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,55,2702,0,0,0,1,0,0,0,1,0,0,641,590,1,692,19,0–30 days,41-60,33.33333333333333,1,74,Cluster 1
29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,35,2828,0,0,1,0,0,0,0,1,0,0,148,131,0,158,8,60–100 days,21-40,0.0,3,75,Cluster 3
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,51,2530,0,1,0,0,0,0,0,1,0,0,12,8,0,14,3,0–30 days,41-60,0.0,3,76,Cluster 3
23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,47,2520,0,1,0,0,0,1,0,0,0,0,56,33,0,72,6,60–100 days,41-60,0.0,3,77,Cluster 3
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,0,0,0,1,0,0,0,0,1,0,229,140,0,284,10,30–60 days,41-60,0.0,3,78,Cluster 3
81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,33,2283,1,0,0,0,0,0,0,1,0,0,702,626,0,751,26,0–30 days,21-40,0.0,2,79,Cluster 2
29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,60,2481,0,1,0,0,0,0,0,1,0,0,53,50,0,46,5,60–100 days,61-100,0.0,3,80,Cluster 3
36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,50,2507,0,1,0,0,0,0,0,0,1,0,146,141,1,151,8,30–60 days,41-60,16.666666666666664,3,81,Cluster 3
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,63,2191,0,0,1,0,0,0,0,1,0,0,338,304,2,372,13,0–30 days,61-100,50.0,1,82,Cluster 1
79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,47,2207,0,1,0,0,0,0,0,1,0,0,1221,1076,1,1256,18,60–100 days,41-60,16.666666666666664,2,83,Cluster 2
54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,53,2318,0,0,0,1,0,0,0,1,0,0,187,180,0,190,9,60–100 days,41-60,0.0,3,84,Cluster 3
42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48,2257,0,0,1,0,0,0,0,0,1,0,28,24,0,32,4,60–100 days,41-60,0.0,3,85,Cluster 3
23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,50,2195,0,1,0,0,0,0,0,0,0,1,43,43,0,43,7,60–100 days,41-60,0.0,3,86,Cluster 3
30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,37,2197,0,1,0,0,0,0,0,1,0,0,36,27,0,33,5,0–30 days,21-40,0.0,3,87,Cluster 3
47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,60,2743,0,0,0,0,1,0,0,1,0,0,531,456,1,606,17,60–100 days,61-100,16.666666666666664,0,88,Cluster 0
51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,2603,1,0,0,0,0,0,0,1,0,0,61,59,0,63,5,30–60 days,41-60,0.0,3,89,Cluster 3
78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,69,2369,0,1,0,0,0,1,0,0,0,0,755,532,1,903,24,30–60 days,61-100,16.666666666666664,2,90,Cluster 2
50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,37,2533,0,1,0,0,0,0,0,0,0,1,399,388,0,345,14,30–60 days,21-40,0.0,0,91,Cluster 0
47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,60,2500,0,0,1,0,0,1,0,0,0,0,62,52,0,70,5,0–30 days,61-100,0.0,3,92,Cluster 3
34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,61,2250,0,0,1,0,0,0,0,0,0,1,50,45,0,53,5,30–60 days,61-100,0.0,3,93,Cluster 3
85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,41,2594,0,0,0,1,0,0,0,1,0,0,1058,947,0,984,25,30–60 days,41-60,0.0,2,94,Cluster 2
65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,75,2567,0,1,0,0,0,0,0,0,0,1,1039,958,0,1040,15,60–100 days,61-100,0.0,0,95,Cluster 0
87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,61,2211,0,1,0,0,0,0,0,1,0,0,1059,1021,0,1047,19,30–60 days,61-100,16.666666666666664,2,96,Cluster 2
24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,41,2360,0,0,0,1,0,0,1,0,0,0,20,11,0,19,4,60–100 days,41-60,0.0,3,97,Cluster 3
49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,56,2437,0,1,0,0,0,0,0,1,0,0,180,173,0,185,9,0–30 days,41-60,0.0,3,98,Cluster 3
52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,51,2671,0,1,0,0,0,0,0,1,0,0,845,780,0,835,22,30–60 days,41-60,0.0,2,99,Cluster 2
38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,42,2716,0,0,1,0,0,0,0,1,0,0,118,91,0,141,7,0–30 days,41-60,0.0,3,100,Cluster 3
89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,60,2728,0,1,0,0,0,0,0,0,1,0,807,764,0,819,13,0–30 days,61-100,0.0,0,101,Cluster 0
77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,41,2398,0,0,0,1,0,0,0,1,0,0,890,811,0,946,23,30–60 days,41-60,0.0,2,102,Cluster 2
68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,29,2755,0,0,1,0,0,0,0,0,0,1,1734,1648,1,1797,16,30–60 days,21-40,33.33333333333333,1,103,Cluster 1
57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,57,2163,0,0,0,1,0,0,0,0,1,0,548,488,1,608,17,0–30 days,41-60,16.666666666666664,0,104,Cluster 0
86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,29,2702,0,0,1,0,0,0,0,1,0,0,708,686,2,701,24,60–100 days,21-40,50.0,1,105,Cluster 1
43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,40,2723,0,1,0,0,0,0,0,0,0,1,479,407,0,551,16,0–30 days,41-60,0.0,0,106,Cluster 0
50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,58,2451,0,0,1,0,0,0,0,1,0,0,87,60,0,114,6,0–30 days,41-60,0.0,3,107,Cluster 3
90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,50,2315,0,1,0,0,0,0,0,1,0,0,1691,1658,2,1573,15,0–30 days,41-60,33.33333333333333,1,108,Cluster 1
36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,42,2654,0,1,0,0,0,1,0,0,0,0,457,337,0,454,15,60–100 days,41-60,0.0,0,109,Cluster 0
30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,2512,0,0,0,1,0,1,0,0,0,0,51,21,0,81,5,60–100 days,41-60,0.0,3,110,Cluster 3
21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,51,2386,0,0,0,1,0,0,0,1,0,0,30,27,0,22,5,30–60 days,41-60,0.0,3,111,Cluster 3
56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,67,2533,0,0,0,1,0,0,0,0,1,0,612,564,0,621,18,60–100 days,61-100,0.0,0,112,Cluster 0
32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,53,2284,0,0,1,0,0,0,0,0,1,0,70,60,0,80,6,0–30 days,41-60,16.666666666666664,3,113,Cluster 3
19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,35,2457,0,1,0,0,0,0,0,0,1,0,23,16,0,27,4,60–100 days,21-40,0.0,3,114,Cluster 3
30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,44,2592,1,0,0,0,0,0,0,1,0,0,41,39,0,36,4,60–100 days,41-60,0.0,3,115,Cluster 3
101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,37,2633,0,0,1,0,0,0,0,1,0,0,967,799,3,1091,27,60–100 days,21-40,66.66666666666666,1,116,Cluster 1
71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,55,2655,0,0,0,1,0,1,0,0,0,0,387,215,0,519,14,60–100 days,41-60,0.0,0,117,Cluster 0
79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,36,2593,0,0,1,0,0,0,0,1,0,0,1707,1491,0,1750,15,30–60 days,21-40,16.666666666666664,2,118,Cluster 2
